Market Name,Store Name,Bin Location,Provider,Description,Part Number,Store Part ID,Part ID,UPC,Parts Quantity,Most Recent Cost,Weighted Average Cost,Last Ordered Date,Last Used Date,Days Since Last Interaction,Total Cost
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",12/A/2,GUARDIAN,HEAVY DUTY TETHER CINCH ANCHOR LOOP,TETHCNCHLPAN,689066,641771,,175,$6.69,$6.69,2023-10-16,,459,"$1,170.75"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",07/B/02,DUPONT,"Tyvek® 400 Coverall, Serged Seams,Attached Hood, Boots, Elastic Waist/Wrist/Ankles, Front Zipper, Storm Flap, White, 3X-Large",TY122S-3XL,493042,3425625,,175,$182.33,$182.33,2024-12-29,2023-08-15,521,"$31,907.75"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",08/A/02,SEVEN STAR,10X10X10 CARDBOARD BOX,BX101010,469380,2249982,,175,$0.65,$0.65,2023-01-09,2023-01-12,736,$113.75
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,GENERAL WORK PRODUCTS,"EACH BLUE DISPOSABLE COVERALLS, HOOD AND BOOT",PPCB1641-L-EACH,963872,3556845,700829134619,175,$1.92,$1.92,2024-06-28,,203,$336.00
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 6 - ROW A - BIN 3,IRONWEAR,SHADE 5 GREEN FACE SHIELD Z87.1,3940-G,929508,1550676,,174,$1.05,$1.05,2024-09-25,2024-10-22,87,$182.70
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 1 - ROW A - BIN 1,GENERAL WORK PRODUCTS,EA 3XL SAFETY VEST ORANGE,SVO3XL,830451,2254844,,174,$3.25,$3.25,2024-02-20,2024-08-26,144,$565.50
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C3/E/03,EAGLE TAPTEK,MED LINE WHITE PAINT MARKER 2.3MM,PM16-01316 WT,467002,2060524,842006013161,173,$1.77,$1.76,2024-04-11,2024-09-26,113,$304.55
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",6/B/1,HEXARMOR,GLOVE LEATHER THINSULATE LINED A3 ARCTIC XLARGE  (12/PK),2141-XL,689147,3836245,,173,$8.37,$8.37,2024-07-25,2024-08-23,147,"$1,448.01"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",c/3/2,ENERGIZER,BATTERY ZMA ALKALINE AA BATTERY SINGLE BATTERY,EN91 - SINGLE BATTERY,1180746,4167967,,173,$9.65,$9.64,2024-12-26,,22,"$1,667.65"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",07/B/03,PYRAMEX,GOGGLE FACESHIELD CLEAR LENS CAPSTONE FULL FACE,GG504TSHIELD,681988,3835886,,173,$5.60,$5.60,2024-06-18,,213,$968.80
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/A/1,DBI-SALA,"PYTHON COMFORT TOOL BELT MEDIUM 32"" TO 36""",1500110,682389,3840302,,172,$35.20,$35.20,2024-08-23,2024-06-18,213,"$6,054.40"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/A/03,GENERAL WORK PRODUCTS,"SRL 6' WEB,CLASS 2,REBAR HOOK, SINGLE",SRL121122C2,1061400,5869344,,171,$97.50,$97.50,2024-09-10,,129,"$16,672.50"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",C/01/E/01,DEWALT,"ABRASIVE FLAP WHEEL 2"" x 1"" X 1/4"" hp 60g",DAFE1F0610,1028541,3695158,885911171557,171,$0.39,$0.39,2024-08-31,2024-12-29,19,$66.69
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",06/B/5,PIP,GLOVE SAFETY R2 RIGGER GLOVE W/ HOOK LOOP,87810-XL,697810,3835524,,171,$4.83,$4.83,2024-08-23,,147,$825.93
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,GENERAL WORK PRODUCTS,EA S LIME MESH REFLCTV VEST CL2,SVL2184FRS,1181463,2254862,70082900100249,170,$3.25,$3.96,2025-01-16,,1,$672.50
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",C/01/D/03,DEWALT,7X1/8X5/8IN-11 PIPELINER CUT/GRIND WH,DW8437,992854,699201,,170,$3.44,$3.36,2024-08-31,2024-12-29,19,$570.89
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",15/B/4,MSA,KIT ADAPTER,488525,683306,3836362,,170,$6.85,$6.85,2024-09-25,,114,"$1,164.50"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/03/A/04,FTL ENTERPRISES,RET RING 1' SQ DR X 2 1/8' ID W/ RESIN,FTL10015CG,829788,2041082,,170,$2.31,$2.31,2024-09-09,2024-12-29,19,$392.70
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",SB2/10,MICHIGAN PNEUMATIC,"FFEMALE DIXLOK 1/2"" NPT",4NM4,258847,72142,,170,$8.95,$11.10,2024-12-29,,19,"$1,887.00"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",06-06-03-01C,GENERAL WORK PRODUCTS,"Barrier Tape, Woven, 2 In, x 200 ft, Yellow",T2WYB200,944740,2040979,,170,$5.25,$5.25,2024-11-23,,55,$892.50
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/B/5,JACKSON SAFETY,BRACKET VISOR CORDED,14505,689035,3836303,,169,$2.72,$2.72,2023-10-16,,459,$459.68
"Newark, NJ - Tooling Solutions","Newark, NJ - Tooling Solutions",A3-1,CENTURY,50' 12/3 SJTW Pro Star Ext Cord (Yellow),D11712050YL,768456,3750695,661899157130,169,$26.99,$27.35,2024-03-15,,308,"$4,622.81"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",BR SCT 1 AA01D,MCR SAFETY,Clear Face Shield,181640,933290,4121028,,168,$1.72,$1.72,2024-05-29,2024-10-24,85,$288.96
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,MOTOROLA,"Radio 2"" Belt Clip",PMLN4651,1107901,3730762,,168,$8.74,$8.74,2024-11-22,,56,"$1,467.90"
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,NOX-CRETE,JOINT SHEILD,JS,1179589,5940985,,168,$2.76,$2.76,2024-12-24,,24,$463.68
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",1/C/1,GENERAL WORK PRODUCTS,HPPE and Fiberglass Core Glove Large A4,G-4590L,968556,1906349,,168,$2.50,$2.50,2024-07-03,,198,$420.00
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 5 - ROW A - BIN 2 / GWP Display,GENERAL WORK PRODUCTS,"2"" MASKING TAPE #506 4.8M - EACH",T2MT2 - EACH,762202,3694221,,168,$2.29,$2.29,2024-08-26,2024-12-23,25,$384.72
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,BULK - RADIO,RADIO BATTERY INTRINSICALLY SAFE R7,770-1210,1107900,3690647,,168,$90.72,$90.72,2024-11-22,2025-01-17,0,"$15,241.45"
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",1/C/1,GENERAL WORK PRODUCTS,HPPE and Fiberglass Core Glove Medium A4,G-4590M,968557,1906350,,168,$2.50,$2.50,2024-07-03,,198,$420.00
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",A3 - 3,HEXARMOR,MX300 - GREY 23% - TRUSHIELD - CUSTOM,11-13003-02ES,991730,3750424,,167,$5.99,$5.99,2024-07-26,2024-12-21,27,"$1,000.33"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 8 - ROW B - BIN 1 / AISLE 8 - ROW B - BIN 4 /  / MPT DISPLAY,MICHIGAN PNEUMATIC,"12"" Jumbo Moil Point (Rivet Buster)",JRB-12MP-USA,93068,54282,,167,$15.95,$15.95,2024-11-15,2025-01-15,2,"$2,663.65"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ShowRoom Floor AA03A,IRONWEAR,"HIGH VIS, Buffalo grain leather, Elastic wrist",4189-OFTP-SM,395343,1908064,,166,$2.61,$2.61,2024-02-02,2024-08-29,141,$433.26
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",A3 - 2,IRONWEAR,GREY HARMONY SAFETY GLASSES,3550-G-G PAIR,451208,832483,607659550087,166,$0.66,$2.10,2022-12-06,2024-12-21,27,$348.60
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",Parts Bin #2 - B / MPT DISPLAY,MICHIGAN PNEUMATIC,RETAINER SPRING FOR CHIPPING HAMMER,1194-2,39245,40501,,166,$0.69,$0.68,2024-12-23,2025-01-06,11,$112.88
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",Radio Room - RM1D,BULK - RADIO,RADIO MICROPHONE R7,770-1310,681241,3690648,,165,$170.00,$127.58,2024-12-20,2025-01-17,0,"$21,051.13"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",,BULK - FLUID ACCESSORY,WHIP HOSE & OILER,700-1210,452431,88575,,165,$63.50,$104.76,2024-10-30,2025-01-17,0,"$17,284.64"
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",S7/04,GENERAL WORK PRODUCTS,EA L LIME MESH REFLCTV VEST CL2,SVL2184FRL,683180,2254874,700829100225,164,$4.25,$4.20,2025-01-15,2024-12-24,24,$689.32
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",,GENERAL WORK PRODUCTS,"1/2"" X 520"" THREAD SEAL TAPE",T1/2T520 - ROLL,606513,2054247,7008291516234,164,$0.25,$0.25,2024-08-31,,139,$41.00
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,GENERAL WORK PRODUCTS,"8"" Cable Tie",NCT08100NY,963869,3692692,700829125129,164,$2.20,$2.20,2024-06-28,,203,$360.80
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",BR SCT 1 AA03E,PYRAMEX,X-LARGE COWHIDE LEATHER DRIVERS - PAIR,GL2001KXL,933380,3549120,810170036873,164,$1.90,$1.90,2024-05-29,2024-09-20,119,$311.60
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",S6/01 & S6/02 & S6/03,GENERAL WORK PRODUCTS,TWIN SRL 6’ LIGHTWEIGHT WEB WITH SMALL HOOK,SRL121132T,592968,3689716,00700829103110,164,$155.00,$155.01,2023-08-22,2024-12-24,24,"$25,421.64"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",2/A/5,PROTO,NUT SETTER 7/16 MAG 1/4 HEX (ORDER IN MULTIPLES OF 10),J61626,681407,3835900,,163,$1.66,$1.66,2023-10-25,,450,$270.58
"Denver, CO - Tooling Solutions","Denver, CO - Tooling Solutions",,HUSQVARNA,"FUEL, PRE-MIX 50:1, 1 QUART",585694801,1152236,5881034,,162,$32.90,$32.90,2024-12-11,,37,"$5,329.80"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",06/A/01,HEXARMOR,GLOVE LEATHER GOATSKIN A3 HEX1 LARGE  (12/PK),2140-L,689145,3836239,,162,$7.64,$7.64,2023-10-16,,459,"$1,237.68"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",5/A/6 - 8/A/4,GUARDIAN,1 INCH X 36 FT VIBRANT ORANGE MOLECULAR SEALING TAPE .02 THICK REINFORCED,MOL36RFVO,688691,3836185,,162,$28.30,$28.30,2024-08-23,2024-06-18,213,"$4,584.60"
"Martinez, CA - Tooling Solutions","Martinez, CA - Tooling Solutions",,HUSQVARNA,"FUEL, PRE-MIX 50:1, 6 BOTTLES/CASE",581158802,1165929,5940475,,162,$5.48,$32.90,2024-12-11,,37,"$5,329.80"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",C/03/B/04,TECHNIWELD,"4 Wheel Brush, 20 Knots, .014 Stainless , 3/4 Trim, 1/2 Face, 5/8-11 Nut, 20000 Max RPM",SS4WK625SS,952956,4131916,,161,$4.63,$4.63,2024-12-30,2024-09-06,133,$745.43
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C1/F/03,LINCOLN ELECTRIC,"CONTACT TIP 350, .045",KP2744-045-B100,283460,40203,015082876887,161,$0.65,$0.90,2024-12-18,2024-08-31,139,$144.90
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions","RACK 18 - 1-C, RACK 18 2-C",BULK - WELDING LEAD,WELDING CABLE 2/0 GROUND CLAMP 300 AMP 10' STEEL CLAMP 10',900-0235,454284,115094,,161,$40.90,$42.06,2024-08-30,2025-01-17,0,"$6,771.13"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",02/A/05,NORTON,3 X .035 X 3/8 IN. METAL CUT-OFF WHEEL A 60 L T01/41,07660789451,629895,3756736,,160,$0.66,$0.66,2024-12-15,2023-09-25,480,$105.60
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",07/A/02,HONEYWELL,"Honeywell 1035112-VS VeriShield 100 Series Passive Earmuffs, VS110N, 22 NRR, Black",1035112-VS,846155,4002763,7312550351123,160,$12.56,$10.92,2024-08-31,,139,"$1,747.20"
"Phoenix, AZ - Tooling Solutions","Phoenix, AZ - Tooling Solutions",06-05-03-07C,GENERAL WORK PRODUCTS,ROLL 3/4 GREY ELECTRICAL TAPE GREY,T3/4EGY,1000604,2253142,,160,$0.70,$0.70,2024-08-20,2024-12-24,24,$112.00
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",A3 - 4,PAULSON,"Faceshield, Metalized, 10"" x 20"" x .060""",IM20-XGHC6FD,911601,4121822,,160,$224.87,$224.87,2024-05-06,,256,"$35,978.40"
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ShowRoom Floor BA03D,NORTON,4-1/2 X 5/8-11 T29 Bluefire Flap Disc 40 Grit 250,66254461167,659716,3694393,,160,$5.55,$4.69,2024-11-11,,67,$750.00
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",UPSTAIRS,"UAT, LLC.",30# Channelizer Base,CW - 30#,937763,4131407,,160,$22.00,$22.00,2024-06-03,,228,"$3,520.00"
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",D8-3,CENTURY,50' 12/3 SJTW Pro Star Ext Cord (Yellow),D11712050YL,859417,3750695,661899157130,159,$26.99,$26.99,2024-08-28,,142,"$4,291.41"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",SB3/08,MICHIGAN PNEUMATIC,NEEDLES 3mm FLAT 19PC/ST,3MM19,258778,54253,,159,$7.00,$7.00,2024-12-18,2024-10-08,101,"$1,113.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",k103,STORMWHISTLE,"ORANGE STORM WHISTL, BULK, NO LANYARD",STRMWHISTL-OR,1195846,2250064,,159,$3.15,$3.15,2025-01-10,,7,$500.85
"St. Louis, MO - Tooling Solutions","St. Louis, MO - Tooling Solutions",F/4/3,EAGLE TAPTEK,11/32 HSS JOBBER DRILL IMPORT,TAC40-022-I,1108879,4125157,,158,$1.52,$1.52,2024-11-07,2024-11-07,71,$240.16
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/A/4,DBI-SALA,PYTHON SCAFFOLD WRENCH HOLSTER WITH RETRACTOR ( BELT ),1500096,682386,3840289,,158,$15.17,$15.17,2024-06-18,2024-08-23,147,"$2,396.86"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",RR3/A/3,BULK - FLUID ACCESSORY,WHIP HOSE & OILER,700-1210,593836,88575,,158,$63.50,$105.00,2023-08-23,2025-01-07,10,"$16,590.00"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 4 - ROW A - BIN 2,CENTURY,50' 12/3 SJTW Pro Star Ext Cord (Yellow),D11712050YL,747874,3750695,661899157130,157,$26.99,$27.42,2024-04-02,,290,"$4,304.58"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",PR/D/2,MICHIGAN PNEUMATIC,"SLEEVE, 2000 SERIES LOWER",2103,569994,54262,,157,$6.50,$6.41,2024-12-19,2024-12-16,32,"$1,006.37"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/02/A02,CS UNITEC,"8"" BLADE FOR GERMAN SAW",Z22-10HSS,378475,116283,,157,$6.27,$6.15,2023-12-27,2024-11-21,57,$965.55
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 5 - ROW C - BIN 2,AEROKROIL,KROIL CHEM LUBE 0002,KS102C,802087,2058479,857236004018,156,$17.42,$17.42,2024-06-27,2024-10-14,95,"$2,717.05"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",04/F/04,TECHNIWELD,"PREMIUM TOP GRAIN PEARL KIDSKIN TIG WELDING GLOVE, UNLINED, SIZE S",AG24CS,583923,3744553,843088156906,156,$5.34,$5.34,2024-12-20,,28,$833.04
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",11/A/1,Pioneer,XXXXL JACKET RAIN ORANGE HI-VIZ,5594-XXXXL,681628,3835955,,156,$12.98,$12.98,2023-10-09,,466,"$2,024.88"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",UPSTAIRS,"UAT, LLC.","FLDOT 36"" 12# cone with reflective",NGFL3M36-12,924891,4131459,,156,$20.50,$20.50,2024-05-17,,245,"$3,198.00"
"Corpus Christi, TX - Tooling Solutions","Corpus Christi, TX - Tooling Solutions",I104,TECHNIWELD,4 X .020 X 5/8-11 Stainless Steel Stringer Bead Pipeline,SS4WS075SS,1005699,4129961,,156,$4.63,$4.63,2024-08-09,,161,$722.28
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",6/B/5,WEST CHESTER,GLOVE CERTIFIED LOW VOLTAGE UP TO 480 VOLTS SIZE 9 12/PACK,LM6000-9,697812,3835540,,156,$3.05,$3.05,2024-03-11,,312,$475.80
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",B/1/FLOOR,3M,"2000 Series Particulate Filter, P100, Particulates, Magenta, 2/PK",2091,857460,2250493,051131070004,155,$6.41,$7.03,2024-07-18,2024-06-27,204,"$1,089.09"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",S/1/3,BULK - POWER EXTENSION CORD,CABLE EXTENSION CORD 100',500-1075,761972,115065,,155,$28.19,$29.95,2024-12-18,2024-09-27,112,"$4,641.57"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/A/2,DBI-SALA,"PYTHON STEEL CABLE RETRACTOR 52""",1500069,676710,3840513,,155,$4.82,$4.82,2023-10-26,,449,$747.10
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",PLANOGRAM  02/F/Floor,DIABLO TOOLS,9 in. Bi-Metal Recip Blade for Medium Metal Cutting (3/32 in. to 5/16 in.) (5-Pack),DS0914BF5,477462,2056770,008925098515,155,$11.05,$11.05,2024-12-29,2024-11-06,72,"$1,712.75"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",02/A/06,NORTON,A3 Gemini Vit Mounted Point,61463624378,435998,2039252,09061463624378,155,$3.21,$3.21,2024-09-04,2024-09-13,126,$496.87
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",03/C/03,GENERAL WORK PRODUCTS,EA XL ORG MESH REFLCTIV VEST CL 2,SVO2184FRXL,477351,2255153,700829100713,155,$4.25,$4.69,2024-08-31,2024-12-30,18,$727.26
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",Welding Area,WHOLESALE ELECTRIC,SO 2/4 NEO 600V 2-04SO (per foot),2244390400,502963,3468919,,154,$15.45,$15.45,2023-02-21,2023-02-21,696,"$2,379.30"
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",D/WALL/FLLOR,TINGLEY,Lightweight Magnaprene™ is single coated neoprene on nylon JACKET,J12148-L,981960,3977215,081138121430,154,$47.96,$47.96,2024-07-18,,183,"$7,385.84"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",2/A/4,DEWALT,NUTSETTER MAGNETIC 5/16X2-9/16   (50EA/PK),DW2222B,697905,3835166,,154,$0.77,$0.77,2023-10-25,,450,$118.58
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",C/03/B/02,TECHNIWELD,Triple flint spark lighter (single lighter)-STRIKER,TEC4501,891491,4028171,843088112988,154,$2.85,$2.85,2024-08-30,2024-12-29,19,$438.90
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",A/03/A/03,PERMATEX,"Thread Sealant with PTFE, 4OZ, White",80632,1028777,3695733,686226806321,154,$14.14,$14.14,2024-08-31,,139,"$2,177.56"
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",P27,BULK - SLIP BLIND 150,"BLIND PADDLE 2"" 150# 5/16"" THICK",810-0205,897714,4122753,,153,$26.51,$15.93,2024-11-04,2025-01-17,0,"$2,437.76"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",01/C/04,SPRAYON,SP603 BLUE LAYOUT DYE,SC0603000,458799,2057518,,153,$7.57,$7.00,2024-07-19,2024-07-31,170,"$1,070.68"
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-M2-M8,CENTURY,100' 12/3 SJTW Pro Star Ext Cord (Yellow),D11712100YL,839982,3750696,,153,$54.75,$53.94,2024-10-21,2024-10-14,95,"$8,253.54"
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",4/A/2,STANLEY,KNIFE UTILITY RETRACTABLE,FMHT10242,688879,3835724,,153,$3.56,$3.56,2024-03-11,2024-11-29,49,$544.68
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,IRWIN,"CARPENTER PENCIL, MEDIUM, BLUE",66305SL,963819,3746002,20024721028154,152,$0.50,$0.50,2024-06-28,,203,$76.61
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",4/A/4,NICHOLSON,HANDLE PLASTIC #8 RED,21516,692101,3835988,,151,$1.16,$1.16,2023-10-18,,457,$175.16
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",2/A/3,IRWIN,"BIT SPEED BORE 3/8""",88806,689004,3836279,,151,$0.95,$0.95,2023-10-16,,459,$143.45
"Lakeland, FL - Tooling Solutions","Lakeland, FL - Tooling Solutions",TC-JJ5,DIABLO TOOLS,"9"" 8/10 TPI Bi-Metal Reciprocating Saw Blades for Thick Metal",DS0908BFD,948400,4163768,,150,$1.66,$1.66,2024-06-13,2024-06-13,218,$249.00
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",03/C/01,GENERAL WORK PRODUCTS,EA 7XL ORG MESH REFLCTIV VEST CL2,SVO2184FR7XL,480424,2255356,,150,$4.25,$4.25,2023-01-25,,723,$637.50
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",ROW A/SEC 1/ AA02B,TECHNIWELD,70S-2 1/8 DIAMETER 36 INCH TIG ROD ISO W425W2Si1,70S212536,798628,3750158,,150,$2.46,$2.40,2024-11-21,2024-02-14,338,$360.00
"El Dorado, AR - Tooling Solutions","El Dorado, AR - Tooling Solutions",,TECHNIWELD,E7018 5/32 DIAMETER ELECTRODE 5LB PACKAGE,7018I15605V,1200551,3745902,843088136366,150,$1.37,$1.37,2025-01-15,,2,$205.50
"Charlotte, NC - Tooling Solutions","Charlotte, NC - Tooling Solutions",,MICHIGAN PNEUMATIC,Chisel 12in RDOC Moil Point,315,1012879,62470,,150,$9.95,$9.95,2025-01-06,,11,"$1,492.50"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C4/F/06,CS UNITEC,"Hacksaw Blade 30"" SL, 12 TPI",Z22-75 HSS,258820,50783,,150,$25.08,$30.10,2024-07-17,2022-08-26,875,"$4,515.51"
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,DEWALT,4-1/2 X 5/8-11 80G T27 HP TRIM FLAP,DWA8358HTR,966096,699174,885911617024,150,$3.92,$3.92,2024-07-01,,200,$588.00
"Port Arthur, TX - Tooling Solutions","Port Arthur, TX - Tooling Solutions",D/14/B/04,GENERAL WORK PRODUCTS,"HARNESS 5PT. BACK PADDED, SRL BACK PLATE, QCB CHEST, GROMMET LEGS, ORANGE COLOR",H222100141SD,952946,4122175,,150,$30.00,$30.00,2024-08-30,,140,"$4,500.00"
"Houston, TX - Tooling Solutions","Houston, TX - Tooling Solutions",C1/F/04,PROFAX,MILLER BERNARD MIG TIP .045,T-045,583387,3744949,,150,$0.88,$0.92,2023-06-07,2023-08-23,513,$138.00
"Huntsville, AL - Tooling Solutions","Huntsville, AL - Tooling Solutions",3/E/2,NORTON,"Wire Wheel Brush: 4 1/2 in Brush Dia., 5/8""-11 Arbor Hole, 0.02 in Wire Dia., Carbon Steel",66252839111,1135886,2038766,662528391116,150,$4.08,$4.08,2024-11-15,,63,$612.00
"Chicago, IL - Tooling Solutions","SW Chicago, IL - Tooling Solutions",C2-4,METABO,"WHEEL CUTTING 6"" X .040 X 7/8"" A60TZ T1",655339000,451193,781708,662911302361,150,$1.27,$1.27,2022-12-06,,773,$190.50
"Cincinnati, OH - Tooling Solutions","Cincinnati, OH - Tooling Solutions",7/B/4,IRONWEAR,"8"" CLEAR FACE SHIELD",3939,1135046,775258,20607659393909,150,$1.25,$1.25,2024-11-12,2025-01-06,11,$187.50
"Tulsa, OK - Tooling Solutions","Tulsa, OK - Tooling Solutions",A/2/Floor,NORTON,"Gemini® Type 27 Grinding and Cutting Wheel, 4-1/2 in dia x 1/4 in T x 5/8 in-11 Arbor Hole, AO",66252843593,857473,4121713,,150,$5.14,$5.14,2024-12-23,2024-08-28,142,$770.70
"Olive Branch, MS - Tooling Solutions","Olive Branch, MS - Tooling Solutions",,LINCOLN ELECTRIC,Fleetweld® 5P+® Stick Electrode (SMAW) - 1/8 x 14 in (3.2 x 350 mm) - (3) 10 lb Easy Open Can,ED032565,1140861,3831214,,150,$6.50,$6.50,2024-11-18,,60,$974.25
"Atlanta, GA - Tooling Solutions","Atlanta, GA - Tooling Solutions",T11/01 & T8/01 & T3/03,GENERAL WORK PRODUCTS,"CASE BLUE DISPOSABLE COVERALLS, HOOD AND BOOT",PPCB1641-L-BULK,677404,2053688,,150,$48.00,$37.36,2024-11-29,2024-12-24,24,"$5,603.64"
"Baton Rouge, LA - Tooling Solutions","Baton Rouge, LA - Tooling Solutions",AISLE 5 - ROW B - BIN 3,GENERAL WORK PRODUCTS,"HARNESS 5PT., TONGUE AND BUCKLE LEG STRAPS, BACK D-RING., BLUE COLOR",H212100031,639600,2038820,00700829101901,150,$26.00,$26.00,2024-12-23,2024-06-24,207,"$3,900.00"
